web-scraper-order,web-scraper-start-url,product_name,test_methodology,price,price-href,release_year,neutral_sound,wireless_gaming,headphone_type,comfort,weight,controls_rating,os_compatibility,controls_ease_of_use,breathability,portability,build_quality,frequency_response_consistency,frc_std,peaks_dips,imaging,battery,app_support,ios_support,android_support,macos_support,windows_support,bluetooth_rating,bluetooth_version,latency_aptx,latency_sbc,aac_support,brand_name
"1702359442-48","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite 8 Active True Wireless","v1.5","SEE PRICE","https://shop-links.co/1820219333657246438?u1=rtings","2023","7.5","6.0","In-ear","7.5","0.02 lbs","8.0","Not OS specific","Decent","","9.5","8.0","7.2","0.57 dB","9.0","9.0","7.8","8.0","Yes","Yes","No","No","8.3","5.3","N/A","258 ms","","Jabra"
"1702359442-49","https://www.rtings.com/headphones/tools/table/126803","Beats Studio Pro Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C8PR4W22?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.6","5.5","Over-ear","7.0","0.6 lbs","7.6","Not OS specific","Good","","6.1","7.5","7.1","0.6 dB","7.4","8.8","8.7","6.0","Yes","Yes","No","No","7.1","5.3","N/A","155 ms","","Beats"
"1702359442-50","https://www.rtings.com/headphones/tools/table/126803","Shure AONIC 50 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B084RZSFCX?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.4","5.8","Over-ear","7.5","0.74 lbs","7.7","Not OS specific","Good","5.8","5.8","8.0","7.5","0.51 dB","7.2","8.9","7.7","7.5","Yes","Yes","No","No","7.9","5.0","171 ms","176 ms","","Shure"
"1702359442-51","https://www.rtings.com/headphones/tools/table/126803","Beats Powerbeats Pro Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B07R5QD598?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2019","7.6","5.9","In-ear","7.5","0.05 lbs","6.9","Not OS specific","Great","9.2","8.8","7.5","9.4","0.12 dB","8.1","8.8","7.8","5.5","Yes","Yes","Yes","No","7.0","5.0+H1 chip","N/A","178 ms","","Beats"
"1702359442-52","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite Active 65t Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B07H3DJXHZ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2018","7.2","5.7","In-ear","6.5","0.03 lbs","6.9","Not OS specific","Decent","8.7","9.4","8.0","9.2","0.16 dB","8.0","7.9","6.3","7.5","Yes","Yes","No","No","7.8","5.0","N/A","201 ms","","Jabra"
"1702359442-53","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite 7 Active True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09D15G8PG?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.6","6.0","In-ear","7.5","0.02 lbs","8.1","Not OS specific","Decent","","9.5","7.5","9.5","0.11 dB","9.1","8.7","7.5","8.0","Yes","Yes","No","No","8.5","5.2","N/A","238 ms","","Jabra"
"1702359442-54","https://www.rtings.com/headphones/tools/table/126803","Shure AONIC 50 Gen 2 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C8X2JF99?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.1","5.9","Over-ear","7.5","0.75 lbs","7.7","Not OS specific","Good","","5.9","8.0","8.0","0.4 dB","7.0","9.1","9.1","7.5","Yes","Yes","No","No","8.3","5.0","241 ms","244 ms","","Shure"
"1702359442-55","https://www.rtings.com/headphones/tools/table/126803","JBL Tune 760NC Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B094YV1S9T?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.6","5.5","Over-ear","7.0","0.5 lbs","7.3","Not OS specific","Good","","6.4","7.0","6.4","0.8 dB","7.8","8.4","7.9","0.0","No","No","No","No","8.3","5.0","N/A","168 ms","","JBL"
"1702359442-56","https://www.rtings.com/headphones/tools/table/126803","Anker Soundcore Life Q30 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08HMWZBXC?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","6.5","5.6","Over-ear","7.5","0.58 lbs","7.5","Not OS specific","Decent","5.9","6.2","7.0","6.9","0.65 dB","7.4","6.1","8.9","8.0","Yes","Yes","No","No","9.0","5.0","N/A","206 ms","","Anker"
"1702359442-57","https://www.rtings.com/headphones/tools/table/126803","Anker Soundcore Space One Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C6KFZC9Z?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.0","5.5","Over-ear","7.0","0.58 lbs","8.0","Not OS specific","Decent","","5.7","7.5","6.5","0.75 dB","6.3","8.5","8.8","8.0","Yes","Yes","No","No","8.4","5.3","N/A","275 ms","","Anker"
"1702359442-58","https://www.rtings.com/headphones/tools/table/126803","Beats Solo3 2019 Wireless","v1.5","SEE PRICE","https://shop-links.co/1783687545140526788?u1=rtings","2019","7.2","5.6","On-ear","7.0","0.47 lbs","6.5","Not OS specific","Decent","","6.5","7.5","7.5","0.49 dB","7.1","8.4","8.4","5.0","Yes","Yes","No","No","7.1","4.2 + W1 chip","N/A","173 ms","","Beats"
"1702359442-59","https://www.rtings.com/headphones/tools/table/126803","Jabra Evolve2 65 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08B1X3BMB?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.5","7.0","On-ear","7.5","0.4 lbs","7.1","Not OS specific","Good","7.2","6.2","7.5","6.0","0.95 dB","7.4","8.4","8.9","7.5","Yes","Yes","No","No","8.4","5.0","N/A","233 ms","","Jabra"
"1702359442-60","https://www.rtings.com/headphones/tools/table/126803","Bose QuietComfort 35 II/QC35 II Wireless 2018","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0756CYWWD?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2017","8.0","6.2","Over-ear","8.5","0.52 lbs","7.6","Not OS specific","Good","6.3","6.5","7.5","7.7","0.45 dB","8.1","9.0","8.4","7.0","Yes","Yes","No","No","8.6","4.1","N/A","239 ms","","Bose"
"1702359442-61","https://www.rtings.com/headphones/tools/table/126803","Bose 700 Headphones Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B07Q9MJKBV?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2019","7.5","6.0","Over-ear","8.0","0.58 lbs","7.4","Not OS specific","Decent","6.6","5.5","8.0","6.9","0.65 dB","8.0","8.0","8.4","7.0","Yes","Yes","No","No","8.5","5.0","N/A","180 ms","","Bose"
"1702359442-62","https://www.rtings.com/headphones/tools/table/126803","Apple AirPods Max Wireless","v1.5","SEE PRICE","https://shop-links.co/1783688079023061857?u1=rtings","2020","7.6","5.6","Over-ear","7.0","0.85 lbs","7.9","iOS","Great","6.1","6.0","8.0","7.1","0.6 dB","7.3","7.7","8.3","6.0","Yes","No","Yes","No","7.3","5.0+H1 chip","N/A","173 ms","","Apple"
"1702359442-63","https://www.rtings.com/headphones/tools/table/126803","Sony LinkBuds S Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09YL76VSR?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.2","5.7","In-ear","7.5","0.02 lbs","7.6","Not OS specific","Good","","9.5","7.5","9.1","0.19 dB","8.4","8.6","7.3","8.0","Yes","Yes","No","No","8.5","5.2","N/A","228 ms","","Sony"
"1702359442-64","https://www.rtings.com/headphones/tools/table/126803","HyperX Cloud 2/Cloud II Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08NTYB4M7?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.5","7.6","Over-ear","8.0","0.69 lbs","5.7","PC/PS4","Good","6.3","5.6","8.0","5.9","0.97 dB","7.4","8.7","8.4","6.0","No","No","No","Yes","0.0","No Bluetooth","N/A","N/A","","HyperX"
"1702359442-65","https://www.rtings.com/headphones/tools/table/126803","Razer Barracuda Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09Y1Q8NG2?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.6","7.6","Over-ear","7.5","0.66 lbs","7.1","Not OS specific","Good","","5.9","7.5","6.9","0.63 dB","7.2","8.9","9.2","8.0","Yes","Yes","No","Yes","8.5","5.2","N/A","87 ms","","Razer"
"1702359442-66","https://www.rtings.com/headphones/tools/table/126803","Razer BlackShark V2 Pro Wireless 2023","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BY1FXC9N?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.3","7.4","Over-ear","7.5","0.73 lbs","7.1","Not OS specific","Good","","5.4","6.5","5.3","1.52 dB","7.0","8.2","9.0","8.5","No","No","Yes","Yes","8.6","5.2","N/A","226 ms","","Razer"
"1702359442-67","https://www.rtings.com/headphones/tools/table/126803","Razer BlackShark V2 HyperSpeed Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0CF3LHQSM?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.7","7.5","Over-ear","7.5","0.62 lbs","7.1","Not OS specific","Good","","5.4","6.5","5.7","1.07 dB","6.9","8.9","8.9","8.5","No","No","Yes","Yes","8.6","5.2","N/A","262 ms","","Razer"
"1702359442-68","https://www.rtings.com/headphones/tools/table/126803","Wyze Noise-Cancelling Headphones Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08KHTJL1F?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.5","5.9","Over-ear","7.5","0.63 lbs","8.1","Not OS specific","Good","5.8","6.0","7.5","8.0","0.39 dB","5.4","8.9","8.6","8.0","Yes","Yes","No","No","8.5","5.0","N/A","236 ms","","Wyze"
"1702359442-69","https://www.rtings.com/headphones/tools/table/126803","Apple AirPods (3rd generation) Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BDHB9Y8H?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.9","5.3","Earbuds","7.0","0.02 lbs","5.5","Not OS specific","Great","","9.7","8.0","7.5","0.5 dB","7.1","9.2","7.2","5.0","Yes","No","Yes","No","6.9","5.0+H1 chip","N/A","187 ms","","Apple"
"1702359442-70","https://www.rtings.com/headphones/tools/table/126803","Google Pixel Buds A-Series Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BCQVJPQP?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.0","5.6","In-ear","7.5","0.02 lbs","5.5","Not OS specific","Great","9.2","9.5","7.5","7.8","0.43 dB","7.9","7.2","5.6","6.5","No","Yes","No","No","7.0","5.0","N/A","319 ms","","Google"
"1702359442-71","https://www.rtings.com/headphones/tools/table/126803","Skullcandy Sesh Evo True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0857K6QW7?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","6.6","5.1","In-ear","7.0","0.02 lbs","6.6","Not OS specific","Decent","9.2","9.4","7.5","9.4","0.12 dB","8.7","9.3","5.9","0.0","No","No","No","No","6.6","5.0","N/A","190 ms","","Skullcandy"
"1702359442-72","https://www.rtings.com/headphones/tools/table/126803","Skullcandy Dime 2 True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09NPCLNMN?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.5","5.4","In-ear","6.5","0.02 lbs","6.6","Not OS specific","Decent","","9.5","7.5","8.5","0.3 dB","8.3","9.1","6.2","4.0","Yes","Yes","No","No","6.7","5.0","N/A","242 ms","","Skullcandy"
"1702359442-73","https://www.rtings.com/headphones/tools/table/126803","TOZO T6 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B07RGZ5NKS?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2019","6.7","5.3","In-ear","7.0","0.02 lbs","6.6","Not OS specific","Good","9.2","9.4","7.5","9.9","0.03 dB","7.3","8.9","5.6","0.0","No","No","No","No","6.7","5.0","N/A","267 ms","","TOZO"
"1702359442-74","https://www.rtings.com/headphones/tools/table/126803","Anker Soundcore Life Q35 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09FPCZ318?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.2","5.8","Over-ear","7.5","0.59 lbs","7.5","Not OS specific","Decent","6.0","6.2","7.5","6.8","0.66 dB","7.0","7.6","7.9","8.0","Yes","Yes","No","No","9.0","5.0","N/A","206 ms","","Anker"
"1702359442-75","https://www.rtings.com/headphones/tools/table/126803","Xbox Wireless Headset","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08WFD42G5?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","5.2","6.5","Over-ear","7.5","0.69 lbs","6.7","Not OS specific","Excellent","6.0","5.6","7.5","5.4","1.27 dB","6.2","8.2","8.2","7.5","No","No","No","Yes","8.3","4.2","N/A","256 ms","","Xbox"
"1702359442-76","https://www.rtings.com/headphones/tools/table/126803","Skullcandy Smokin' Buds/Buds XT True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C2F5KD26?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.9","5.2","In-ear","7.0","0.02 lbs","6.4","Not OS specific","Okay","","9.5","7.0","8.6","0.29 dB","7.8","8.8","6.6","0.0","No","No","No","No","7.1","5.2","N/A","224 ms","","Skullcandy"
"1702359442-77","https://www.rtings.com/headphones/tools/table/126803","Corsair HS80 RGB WIRELESS","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09BBPTDWX?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.0","7.2","Over-ear","7.5","0.81 lbs","5.6","PC/PS4","Good","6.9","5.7","8.0","6.1","0.88 dB","7.6","8.1","7.6","8.0","No","No","Yes","Yes","0.0","No Bluetooth","N/A","N/A","","Corsair"
"1702359442-78","https://www.rtings.com/headphones/tools/table/126803","Corsair HS70 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B07D1LYT1X?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2018","8.0","7.6","Over-ear","7.5","0.8 lbs","5.6","PC/PS4","Good","6.4","5.6","8.0","7.5","0.5 dB","7.6","8.5","8.1","7.5","No","No","Yes","Yes","0.0","No Bluetooth","N/A","N/A","","Corsair"
"1702359442-79","https://www.rtings.com/headphones/tools/table/126803","Beats Flex Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08L6ZYW21?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","6.9","5.4","In-ear","7.5","0.04 lbs","6.8","Not OS specific","Good","9.2","9.4","7.5","9.1","0.19 dB","7.9","9.5","6.2","5.0","Yes","Yes","No","No","7.3","5.0+W1 chip","N/A","173 ms","","Beats"
"1702359442-80","https://www.rtings.com/headphones/tools/table/126803","Corsair HS80 MAX WIRELESS","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0CBQGSX7B?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.9","7.4","Over-ear","7.5","0.8 lbs","7.0","PC/PS4","Good","","5.6","8.0","6.2","0.85 dB","6.9","7.6","9.0","8.0","No","No","Yes","Yes","7.3","5.2","N/A","197 ms","","Corsair"
"1702359442-81","https://www.rtings.com/headphones/tools/table/126803","Amazon Echo Buds True Wireless 2021 (2nd generation)","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B085WTYQ4X?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.0","5.7","In-ear","7.5","0.03 lbs","6.0","Not OS specific","Decent","9.2","9.5","7.5","9.2","0.17 dB","7.3","8.6","6.6","7.5","Yes","Yes","No","No","8.2","5.0","N/A","348 ms","","Amazon"
"1702359442-82","https://www.rtings.com/headphones/tools/table/126803","Samsung Galaxy Buds Live Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B089B658NP?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","6.9","5.3","Earbuds","7.0","0.02 lbs","5.7","Not OS specific","Good","9.2","9.5","7.5","5.4","1.34 dB","6.7","7.6","6.4","7.5","Yes","Yes","No","Yes","7.0","5.0","N/A","362 ms","","Samsung"
"1702359442-83","https://www.rtings.com/headphones/tools/table/126803","Nothing Ear (1) Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09PYGSLQ8?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.1","5.5","In-ear","7.5","0.02 lbs","7.6","Not OS specific","Good","","9.5","7.5","6.7","0.7 dB","7.7","8.0","6.1","7.5","Yes","Yes","No","No","6.8","5.2","N/A","301 ms","","Nothing"
"1702359442-84","https://www.rtings.com/headphones/tools/table/126803","Beats Studio Buds True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B096SV8SJG?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.7","5.4","In-ear","7.5","0.02 lbs","6.3","Not OS specific","Good","9.2","9.7","7.5","9.2","0.16 dB","8.3","9.2","5.9","6.0","Yes","Yes","No","No","7.1","5.2","N/A","283 ms","","Beats"
"1702359442-85","https://www.rtings.com/headphones/tools/table/126803","JBL Tune Flex True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C1QNRGHC?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.5","5.9","In-ear","7.5","0.02 lbs","6.7","Not OS specific","Good","","9.7","7.5","8.8","0.25 dB","8.5","8.7","7.4","8.0","Yes","Yes","No","No","6.9","5.2","N/A","320 ms","","JBL"
"1702359442-86","https://www.rtings.com/headphones/tools/table/126803","Shokz OpenRun Bone Conduction","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09BW1QVVT?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","5.3","4.9","Bone Conduction","7.5","0.06 lbs","6.8","Not OS specific","Good","","7.0","7.5","5.8","1.01 dB","4.9","4.2","7.2","0.0","No","No","No","No","8.4","5.1","N/A","229 ms","","Shokz"
"1702359442-87","https://www.rtings.com/headphones/tools/table/126803","Anker Soundcore Liberty 4 True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0B9M552J4?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","6.1","5.5","In-ear","7.5","0.03 lbs","7.7","Not OS specific","Good","","9.5","7.5","8.9","0.22 dB","7.2","7.7","7.2","9.0","Yes","Yes","No","No","8.4","5.3","N/A","287 ms","","Anker"
"1702359442-88","https://www.rtings.com/headphones/tools/table/126803","Anker SoundCore Life P3 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B093SLWMS7?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.1","5.8","In-ear","7.5","0.02 lbs","7.7","Not OS specific","Good","9.2","9.4","7.5","9.0","0.2 dB","7.5","9.1","6.2","8.0","Yes","Yes","No","No","7.0","5.0","N/A","213 ms","","Anker"
"1702359442-89","https://www.rtings.com/headphones/tools/table/126803","Anker Soundcore Liberty 4 NC Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BZV8HLX3?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.0","5.7","In-ear","7.5","0.02 lbs","7.7","Not OS specific","Good","","9.4","7.5","8.4","0.31 dB","7.6","8.6","7.8","9.0","Yes","Yes","No","No","8.4","5.3","N/A","158 ms","","Anker"
"1702359442-90","https://www.rtings.com/headphones/tools/table/126803","Sony LinkBuds Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09QNLR4GD?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","4.9","4.9","Earbuds","6.5","0.02 lbs","7.1","Not OS specific","Decent","","9.6","7.5","7.4","0.52 dB","6.6","7.2","7.0","8.0","Yes","Yes","No","No","8.1","5.2","N/A","222 ms","","Sony"
"1702359442-91","https://www.rtings.com/headphones/tools/table/126803","Apple AirPods Pro Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09JQMJHXY?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2019","7.4","5.7","In-ear","7.5","0.01 lbs","6.2","Not OS specific","Good","9.2","9.6","8.0","9.3","0.14 dB","8.8","8.3","6.9","5.5","Yes","No","Yes","No","6.9","5.0+H1 chip","N/A","188 ms","","Apple"
"1702359442-92","https://www.rtings.com/headphones/tools/table/126803","Bowers & Wilkins Pi7 True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08H8GNPLQ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.4","6.4","In-ear","6.5","0.03 lbs","5.8","Not OS specific","Good","9.2","9.5","8.0","9.7","0.07 dB","7.6","8.5","5.2","6.5","Yes","Yes","No","No","6.6","5.0","243 ms","276 ms","","Bowers & Wilkins"
"1702359442-93","https://www.rtings.com/headphones/tools/table/126803","Denon PerL Pro True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C61G4X7P?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.8","5.5","In-ear","8.0","0.04 lbs","7.9","Not OS specific","Great","","9.4","7.5","7.9","0.42 dB","7.7","8.7","7.3","7.5","Yes","Yes","No","No","8.1","5.3","233 ms","359 ms","","Denon"
"1702359442-94","https://www.rtings.com/headphones/tools/table/126803","Anker Soundcore Life Q20 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B07NM3RSRQ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2019","6.8","5.3","Over-ear","7.5","0.57 lbs","7.1","Not OS specific","Decent","","6.1","7.0","6.8","0.66 dB","7.1","8.4","7.7","0.0","No","No","No","No","7.0","5.0","N/A","362 ms","","Anker"
"1702359442-95","https://www.rtings.com/headphones/tools/table/126803","TOZO NC7 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09FPQ2MX3?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.9","5.3","In-ear","7.0","0.02 lbs","7.6","Not OS specific","Decent","9.2","9.4","7.5","8.6","0.28 dB","7.1","8.6","6.6","0.0","No","No","No","No","6.9","5.0","N/A","262 ms","","TOZO"
"1702359442-96","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite 85h Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B07XQJTY1T?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2019","7.9","6.2","Over-ear","8.0","0.66 lbs","8.1","Not OS specific","Good","6.0","6.1","7.5","6.1","0.91 dB","8.4","8.9","8.4","8.0","Yes","Yes","No","No","8.3","5.0","N/A","232 ms","","Jabra"
